Title|Author|Tags
The Evolution of Physics From Early concepts to Relativity and quanta|Albert Einstein and Leopold Infeld|History
The Search for Meaning: The new spirit in science and philosophy|Pylkkänen, Paavo|Philosophy,Philosophy of Science, paradigms
Great Ideas in Physics|Alan Lightman|History
Power and Invention|Isabelle Stengers|Philosophy, Culture and Society
Matter in Motion  The Spirit and Evolutionof Physics|Ernest S.Abers/ Charles F.Kennel|History
Uncommon Sense: The Heretical Nature of Science|Cromer, Alan|Philosophy, Philosophy of Science, Religion
Surely You're Joking, Mr.Feynman!|Ralph Leigton, Richard Feynman, Edward Hutchings|History
A Sense of the Future|Bronowski, J|Philosophy, Culture and Society
Fidelity|Redhill, Michael|Pop Science, Pop Math
Descartes' Error Emotion, Reason and the Human Brain|Antonio R. Damasio|Philosophy
Physics and Beyond|Heisenberg, Werner|Pop Science, Pop Physics
The Beautiful Invisible|Vignale, Giovanni|Pop Science, Pop Physics
Symmetry, Art, and Nuclear Physics|Rowe/Nash|Pop Science, Pop Physics
Discoveries and Opinions of Galileo|Stillman Drake|History
The Science and the Life of Albert Einstein|Abraham Pais|History
Earthly Reflections of an Astrophysicist|Reeves, Hubert|Pop Science, Pop Physics
Real Analysis Modern Techniques and Their Applications|Gerald B.Folland|Math, Analysis
Inventing Reality: Physics as Language|Gregory, Bruce|Pop Science, Pop Physics
Space Time and Beyond|Bob Toben and Fred Alan Wolf|Pop Science, Pop Physics
Thinking Physics Part 1|Epstein/Hewitt|Pop Science, Pop Physics
How to Build a Flying Saucer and Other Proposals in Speculative Engineering|T.B.Pawlicki|Pop Science, Pop Physics
The Hidden Reality Parallel Universes|Brian Greene|Pop Science, Pop Physics
The Recursive Universe|Poundstone, William|Pop Science, Pop Physics
Supersymmetry|Gordon Kane, Edward Witten|Pop Science, Pop Physics
The Acentric Labyrinth Giordano Bruno's Prelude to Contemporary Cosmology|Ramon G Mendoza|Pop Science
A Brief History of Time|Hawking, Stephen|Pop Science
The Hour of Our Deligh, Cosmic Evolution Order and Complexity|Hubert Reeves|Pop Science, Pop Physics
Relativity for the Layman|Coleman, James|Pop Science
Physics of the Impossible|Kaku, Michio|Pop Science
Knocking on Heaven's Door|Lisa Randall|Pop Science
The Impact of Chaos on Science and Society|Celso Grebogi and James A. Yorke|Pop Science
Quantum Gravity|Smolin, Lee|Pop Science
Chaos Under Control The Art and Science of Complexity|David Peak, Michael Frame|Computational
The Mathematical Experience|Davis/Reubenhersh|Pop Science
What Makes Nature Tick|Roger G.Newton|Pop Science
In Search of the Miraculous|P.D.Ouspensky|Pop Science
Superstrings: A theory of everything?|Davies/Brown|Pop Science
What Remains to be Discovered|John Maddox|Pop Science
The Conscious Universe|Menas Kafatos, Robert Nadeau|Pop Science
Patterns in the Sand|Terry Bossomaier,David Green|Pop Science
Population Genetics: A Concise Guide|Gillespie, John|Pop Science
The Art of Numerology A Practical Guide to uncover your destiny|Editor: Anna Southgate|Math, Number Theory
Why Evolution is True?|Coyne, Jerry|Pop Science
The Sphinx and the Rainbow|Loye, David|Pop Science
Profiles of the Future|Arthur C. Clarke|Pop Science
Life, The Universe and Everything|Douglas Adams|Pop Science
How a Fly Walks Upside Down|Goldwyn, Martin|Pop Science
36 Arguments for the existence of God a work of fiction|Rebecca Newberger Goldstein|Pop Science
The Forms of Color|Gerstner, Karl|Misc.
Lawless Universe|Joe Rosen|Pop Science
The Sand Dollar and the Slide Rule|Delta Willis|Biology
Walls: Travels Along the Barricades|Di Cintio, Marcelo|Misc.
Physics for Poets|Robert H. March|Misc.
Superior Beings|Brams, Steven|Misc.
In search of the ultimate building blocks|Gerard 't Hooft|Pop Science
Squamish: Boulder Problem|Michaux, Peter|Misc.
The Laboratory of the Mind Thought Experiments in the Natural Sciences|James Robert Brown|Philosophy
Le Château de Chambord|de Buzon, Christine|Misc.
Science, Order, and Creativity|David Bohm and F. David Peat|Pop Sci
Lake Views|Weinberg, Steven|Misc.
Does God Play Dice The New Mathematics of Chaos|???|Pop Sci
Fear of Physics A Guide for the Perplexed|Lawrence M.Krauss|Pop Sci
The Children of Time|Lestienne, Rémy|Pop Science
The Search for Superstrings, Symmetry, and the Theory of Everything|John Gribbin|Pop Sci
A Midsummer Night's Dream|William Shakespeare|Fiction
Fragile Objects|de Gennes/Badoz|Pop Science
1984|George Orwell|Fiction
The Fall of Hyperion|Dan Simmons|Fiction
The Fountains of Paradise|Arthur C.Clarke|Fiction
Victor Hugo Cosette|Victor Hugo|French
Chaos: Making a New Science|Gleick, James|Pop Science
La Duchesse de Langeais|Michel Tremblay|French
Victor Hugo, Gavroche|Victor Hugo|French
Perfect Symmetry|Pagels, Heinze|Pop Science
Asimov's Guide to Shakespeare|Isaac Asimov|Fiction
Running in the Family|Michael Ondaatje|History
The Strays|Emily Bitto|Fiction
Heaven's Fractal Net: Retrieving Lost Visions in the Humanitites|Jackson, William|Pop Science
Physics In Canada Volume 24 Nos. 3-4, 2018|Physics In Canada|Journal
Physics Today Volume 77, Number 2|Physics Today|Journal
The Mathematical Intelligencer Volume 12 Number1, Winter 1990|The Mathematical Intelligencer|Journal
Physics In Canada, Volume 72, No.3|Physics In Canada|Journal
Physics in Canada, Volume 73, No.4|Physics In Canada|Journal
Physics in Canada, Volume 74, Nos. 1-2 2018|Physics in Canada|Journal
Physics In Canada Volume 71, No.3 2015|Physics in Canada|Journal
Single Variable Calculus Early Transcendentals|James Stewart|Math, Calculus
The Communist Manifesto|Karl Marx, Friedrich Engels|Philosophy
Classical Mechanics|Goldstein|Physics, Classical Mechanics
Modern Quantum Mechanics|J.J.Sakurai|Physics, Quantum Mechanics
Classical Electrodynamics|J.D.Jackson|Physics, Electrodynamics
A Course in Linear Algebra|David D. Damiano & John B. Little|Math
The Classical Theory of Fields|L. D. Landau|Physics, Classical Theoretical
The Feynman Lectures on Physics|Feynman & Leighton & Sands|Physics, Quantum Mechanics (Mechanics, radiation, & heat)
The Feynman Lectures on Physics|Feynman & Leighton & Sands|Physics , Quantum Mechanics
Elements of the Theory of Functions and Functional Analysis|A.N. Kolmogorov, S.V. Fomin|Math,Analysis,Functional Analysis
An Introduction to Quantum Physics | A.P. French, E.F. Taylor |Physics, Quantum Physics, Introductory Quantum Physics
